tweet_id,entity,tag,Date
0,CaseyJ,PERSON,11/4/2020
0,Dominion Voting machines,PRODUCT,11/4/2020
0,Sharpie,PRODUCT,11/4/2020
1,blmohr,PERSON,11/4/2020
1,1,CARDINAL,11/4/2020
1,2.,CARDINAL,11/4/2020
1,ES&S,ORG,11/4/2020
1,Dominion,ORG,11/4/2020
2,MelissaPolloc19,PERSON,11/4/2020
2,chrislhayes,PERSON,11/4/2020
2,Diebald,ORG,11/4/2020
2,ES&S,ORG,11/4/2020
2,Dominion,ORG,11/4/2020
2,Repub,ORG,11/4/2020
3,jawja100,PERSON,11/4/2020
3,Spalding County,GPE,11/4/2020
3,9 p.m,TIME,11/4/2020
3,MORNING,TIME,11/4/2020
3,4 HRS,TIME,11/4/2020
3,18,CARDINAL,11/4/2020
3,9PM,TIME,11/4/2020
3,SUPERIOR COURT,ORG,11/4/2020
3,W. FLETCHER,PERSON,11/4/2020
4,JodieHMoss,PERSON,11/3/2020
4,Dominion,ORG,11/3/2020
5,TragicPenName,PERSON,11/3/2020
5,Dominion Voting Systems,ORG,11/3/2020
5,Diebold,ORG,11/3/2020
5,Ohio,GPE,11/3/2020
6,LesaPamplin,PERSON,11/3/2020
6,Ridley,PERSON,11/3/2020
6,Dominion,ORG,11/3/2020
6,Spalding County,GPE,11/3/2020
7,heartfulmom,PERSON,11/2/2020
7,AileenSN,PERSON,11/2/2020
7,asmithziegler,PERSON,11/2/2020
7,madandart,PERSON,11/2/2020
7,GEORGIANS,NORP,11/2/2020
7,tonight,TIME,11/2/2020
7,Dominion BMD,ORG,11/2/2020
7,2017,DATE,11/2/2020
8,Old Dominion,PERSON,11/2/2020
8,AMAs,EVENT,11/2/2020
9,jennycohn1,PERSON,11/2/2020
9,Luzerne County,GPE,11/2/2020
9,PA,GPE,11/2/2020
9,Dominion Voting,ORG,11/2/2020
9,1,CARDINAL,11/2/2020
10,last year,DATE,10/31/2020
10,Dominion Voting Systems,ORG,10/31/2020
10,more than $100 million,MONEY,10/31/2020
11,janforney1,PERSON,10/30/2020
11,HunterJCullen,PERSON,10/30/2020
11,myrubypearl,PERSON,10/30/2020
11,kelly2277,PERSON,10/30/2020
11,laserhaas01,PERSON,10/30/2020
11,modernhomesla,PERSON,10/30/2020
11,MingGao26,PERSON,10/30/2020
11,loonyberg,PERSON,10/30/2020
11,Loveon999,PERSON,10/30/2020
11,LaineyRubin,PERSON,10/30/2020
11,MsMariaT,PERSON,10/30/2020
11,barrelrider684,PERSON,10/30/2020
11,osage77,PERSON,10/30/2020
11,Feenielives4him,PERSON,10/30/2020
11,BiznezNuna,PERSON,10/30/2020
11,carrybeyond,PERSON,10/30/2020
11,VBolin1,PERSON,10/30/2020
11,JeffJWarwick,PERSON,10/30/2020
11,ibewtraveler,PERSON,10/30/2020
11,Angelno32,PERSON,10/30/2020
11,100FrogLegs,PERSON,10/30/2020
11,DemopJ,PERSON,10/30/2020
11,SusanVermazen,PERSON,10/30/2020
11,Looney,PERSON,10/30/2020
11,SDonziger,PERSON,10/30/2020
11,Chevron,ORG,10/30/2020
12,jennycohn1,PERSON,10/30/2020
12,Election Systems & Software LLC,ORG,10/30/2020
12,Dominion Voting Systems Corp,ORG,10/30/2020
12,over 3/4,CARDINAL,10/30/2020
12,U.S.,GPE,10/30/2020
12,the Wharton School,ORG,10/30/2020
12,the University of PAÃƒÂ,ORG,10/30/2020
13,LarrySchweikart,PERSON,11/12/2020
13,Maricopa County AZ,GPE,11/12/2020
13,GOP,ORG,11/12/2020
14,EvanAKilgore,PERSON,11/12/2020
14,Dominion,FAC,11/12/2020
15,realDonaldTrump,PERSON,11/12/2020
15,DOMINION,ORG,11/12/2020
15,2.7 MILLION,CARDINAL,11/12/2020
15,TRUMP,PERSON,11/12/2020
15,"221,000",CARDINAL,11/12/2020
15,PENNSYLVANIA,GPE,11/12/2020
15,TRUMP,PERSON,11/12/2020
15,"941,000",CARDINAL,11/12/2020
15,TRUMP,PERSON,11/12/2020
15,"435,000",CARDINAL,11/12/2020
15,TRUMP,PERSON,11/12/2020
15,ChanelRion,PERSON,11/12/2020
15,OANN,ORG,11/12/2020
16,WalkerRanger,PERSON,11/12/2020
16,the Clinton Foundation,ORG,11/12/2020
16,Dominion,EVENT,11/12/2020
17,LLinWood,PERSON,11/12/2020
17,GA,ORG,11/12/2020
17,White House,ORG,11/12/2020
17,Senate,ORG,11/12/2020
17,GA,ORG,11/12/2020
17,BrianKempGA,PERSON,11/12/2020
17,Communist,NORP,11/12/2020
17,China,GPE,11/12/2020
17,KempÃ,PERSON,11/12/2020
17,Covid,ORG,11/12/2020
17,China,GPE,11/12/2020
17,Dominion,ORG,11/12/2020
17,GA,ORG,11/12/2020
18,Washington State,ORG,11/12/2020
18,Dominion,ORG,11/12/2020
18,WA State,ORG,11/12/2020
18,GOP,ORG,11/12/2020
18,Culp,PERSON,11/12/2020
19,LouDobbs,PERSON,11/12/2020
19,jsolomonReports,PERSON,11/12/2020
19,Dominion,ORG,11/12/2020
19,MAGA,ORG,11/12/2020
19,AmericaFirst,ORG,11/12/2020
19,Dobbs,PERSON,11/12/2020
20,laralogan,PERSON,11/12/2020
20,5,CARDINAL,11/12/2020
21,CodeMonkeyZ,PERSON,11/12/2020
21,RudyGiuliani,PERSON,11/12/2020
21,15 minute,TIME,11/12/2020
21,Dominion,ORG,11/12/2020
22,EvanAKilgore,PERSON,11/12/2020
22,Dominion,LOC,11/12/2020
23,KanekoaTheGreat,PERSON,11/12/2020
23,1,CARDINAL,11/12/2020
23,Andrew Appel,PERSON,11/12/2020
23,Princeton,ORG,11/12/2020
23,2016,DATE,11/12/2020
23,Fox News,ORG,11/12/2020
23,a Dominion Voting Machine,PRODUCT,11/12/2020
23,one,CARDINAL,11/12/2020
24,jennycohn1,PERSON,11/12/2020
24,ES&S,ORG,11/12/2020
24,Dominion,ORG,11/12/2020
24,30k,MONEY,11/12/2020
24,GOP,ORG,11/12/2020
24,Dominion,ORG,11/12/2020
24,ES&SÃ¢Â,ORG,11/12/2020
24,2010,DATE,11/12/2020
25,EmeraldRobinson,PERSON,11/12/2020
25,Dominion Voting Machines,ORG,11/12/2020
25,8,CARDINAL,11/12/2020
25,Georgia,GPE,11/12/2020
25,one,CARDINAL,11/12/2020
25,Jared Thomas,PERSON,11/12/2020
25,Republican,NORP,11/12/2020
25,BrianKempGA,PERSON,11/12/2020
25,SenatorLoeffler,PERSON,11/12/2020
25,sendavidperdue,PERSON,11/12/2020
25,RepDougCollins,PERSON,11/12/2020
26,EmeraldRobinson,PERSON,11/12/2020
26,Dominion Voting Machines,ORG,11/12/2020
26,Canadian,NORP,11/12/2020
26,China,GPE,11/12/2020
26,Serbia,GPE,11/12/2020
26,Obama,PERSON,11/12/2020
26,EU,ORG,11/12/2020
26,Clinton Foundation,ORG,11/12/2020
27,GiuseppeNoc,PERSON,11/12/2020
27,Dominion Voting Systems,ORG,11/12/2020
27,28,CARDINAL,11/12/2020
27,P. Rico,GPE,11/12/2020
27,SMARTMATIC,PRODUCT,11/12/2020
27,Venezuela,GPE,11/12/2020
27,EEUU,GPE,11/12/2020
28,AugustTakala,PERSON,11/12/2020
28,Edison Research,ORG,11/12/2020
28,Dominion,PRODUCT,11/12/2020
28,"435,000",CARDINAL,11/12/2020
28,Trump,PERSON,11/12/2020
28,Biden,PERSON,11/12/2020
28,Another,CARDINAL,11/12/2020
28,2.7 million,CARDINAL,11/12/2020
28,Trump,PERSON,11/12/2020
28,Dominion.,ORG,11/12/2020
29,LouDobbs,PERSON,11/12/2020
29,Dominion Voting Systems,ORG,11/12/2020
29,Toronto,GPE,11/12/2020
29,Texas,GPE,11/12/2020
29,State,ORG,11/12/2020
29,2019,DATE,11/12/2020
29,6,CARDINAL,11/12/2020
29,22,CARDINAL,11/12/2020
29,MAGA,ORG,11/12/2020
29,AmericaFirst,ORG,11/12/2020
29,Dobbs,PERSON,11/12/2020
30,HeatherChilders,PERSON,11/12/2020
30,April 2020,DATE,11/12/2020
30,Dominion Voting,PRODUCT,11/12/2020
30,2020,DATE,11/12/2020
30,Dominion,ORG,11/12/2020
30,Harri Hursti,PERSON,11/12/2020
31,HowleyReporter,PERSON,11/12/2020
31,Trump,PERSON,11/12/2020
31,Supreme Court,ORG,11/12/2020
31,Dominion Voting Systems,ORG,11/12/2020
31,the Electoral College,ORG,11/12/2020
31,Fauci,PERSON,11/12/2020
31,Constitution,LAW,11/12/2020
32,Ramnier,PERSON,11/12/2020
32,Rudy Giuliani,PERSON,11/12/2020
32,"""Dominion Voting Systems""",ORG,11/12/2020
32,Michigan,GPE,11/12/2020
32,100.000,CARDINAL,11/12/2020
32,Biden,PERSON,11/12/2020
33,Eric Trump,PERSON,11/12/2020
33,Dominion,GPE,11/12/2020
33,AFF,ORG,11/12/2020
34,realDonaldTrump,PERSON,11/12/2020
34,ChanelRion,PERSON,11/12/2020
34,OANN,ORG,11/12/2020
35,DerekBodnerNBA,PERSON,11/12/2020
35,the United States,GPE,11/12/2020
35,TheDonald,ORG,11/12/2020
35,OANN,ORG,11/12/2020
35,Edison Research,ORG,11/12/2020
35,Dominion Voting,ORG,11/12/2020
35,Trump,PERSON,11/12/2020
35,DHS,ORG,11/12/2020
36,3,CARDINAL,11/12/2020
36,38 MILLION,CARDINAL,11/12/2020
36,realDonaldTrump,PERSON,11/12/2020
36,RudyGiuliani,PERSON,11/12/2020
36,USSupremeCourt,ORG,11/12/2020
37,EmeraldRobinson,PERSON,11/12/2020
37,Dominion,ORG,11/12/2020
37,Systems,ORG,11/12/2020
37,Mark Malloch Brown,PERSON,11/12/2020
37,George Soros,PERSON,11/12/2020
38,LizRNC,PERSON,11/12/2020
38,Dominion,PRODUCT,11/12/2020
38,Trump,PERSON,11/12/2020
38,Pence,PERSON,11/12/2020
38,Biden-Harris,PERSON,11/12/2020
38,Dominion,PRODUCT,11/12/2020
38,47,CARDINAL,11/12/2020
38,Michigan,GPE,11/12/2020
38,Wayne County,GPE,11/12/2020
39,KLOEBLACK,ORG,11/12/2020
39,Rae ChorenkyÃ‚,PERSON,11/12/2020
39,the Certificate of Accuracy,WORK_OF_ART,11/12/2020
39,Dominion,ORG,11/12/2020
39,Antrim County,GPE,11/12/2020
39,MI,GPE,11/12/2020
40,LLinWood,PERSON,11/12/2020
40,Communist,NORP,11/12/2020
40,China,GPE,11/12/2020
40,China,GPE,11/12/2020
40,Dominion,FAC,11/12/2020
40,Communist,NORP,11/12/2020
41,pimentonverde,PERSON,11/12/2020
41,"Dominion Voting Systems""",ORG,11/12/2020
42,CodeMonkeyZ,PERSON,11/12/2020
42,the Dominion Voting Software,PRODUCT,11/12/2020
43,1,CARDINAL,11/12/2020
43,Georgia,GPE,11/12/2020
43,"Aug 24, 2020",DATE,11/12/2020
43,EpochTimes,ORG,11/12/2020
44,MDMPaul,PERSON,11/12/2020
44,"435,000",CARDINAL,11/12/2020
44,TRUMP,PERSON,11/12/2020
44,OANN,ORG,11/12/2020
45,Dems,NORP,11/12/2020
45,Dominion,ORG,11/12/2020
46,klynn130,PERSON,11/12/2020
46,Jojo99275148,PERSON,11/12/2020
46,The Dominion Voting System,PRODUCT,11/12/2020
47,WalkerRanger,PERSON,11/12/2020
47,47,CARDINAL,11/12/2020
47,83,CARDINAL,11/12/2020
47,Michigan,GPE,11/12/2020
47,Michigan,GPE,11/12/2020
47,GOP,ORG,11/12/2020
47,the 2020 Election,EVENT,11/12/2020
48,SisyphusUnleas,PERSON,11/12/2020
